Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c1.1,1,1,WORDCOUNT,eng,Forest Values,AESTHETIC,"Bengston, D, & Xu, Z. (1995). Changing national forest values: A content analysis.  St. Paul, Minn.: North Central Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture."
c1.2,1,2,WORDCOUNT,eng,Forest Values,ECONOMIC/UTILITARIAN,"Bengston, D, & Xu, Z. (1995). Changing national forest values: A content analysis.  St. Paul, Minn.: North Central Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture."
c1.3,1,3,WORDCOUNT,eng,Forest Values,LIFE SUPPORT,"Bengston, D, & Xu, Z. (1995). Changing national forest values: A content analysis.  St. Paul, Minn.: North Central Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture."
c1.4,1,4,WORDCOUNT,eng,Forest Values,MORAL/SPIRITUAL,"Bengston, D, & Xu, Z. (1995). Changing national forest values: A content analysis.  St. Paul, Minn.: North Central Forest Experiment Station, Forest Service, U.S. Dept. of Agriculture."
