Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c5.25,5,25,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Certain,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.26,5,26,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Tentative,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.27,5,27,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Discrepency,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.28,5,28,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Cause,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.29,5,29,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Insight,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.30,5,30,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),CogMech,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.31,5,31,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Sad,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.32,5,32,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Anger,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.33,5,33,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),Anxiety,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
c5.34,5,34,WORDCOUNT,eng,Linguistic Inquiry and Word Count (LIWC),NegativeEmotion,"Pennebaker, J. W., Booth, R. J., & Francis, M. E. (2007). 'Linguistic Inquiry and Word Count: LIWC [Computer software]'. Austin, TX.  Available at http://www.liwc.net/"
