Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c40.1,40,1,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Earth,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.2,40,2,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Fire,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.3,40,3,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Water,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.4,40,4,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Air,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.5,40,5,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Melancholy,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.6,40,6,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Sanguine,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.7,40,7,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Coleric,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
c40.8,40,8,WORDCOUNT,eng,Martindale & Martindale's Temperament/Elements Dictionary,Flegmatic,"Martindale, A. E., & Martindale, C. (1988). Metaphorical equivalence of elements and temperaments: Empirical studies of Bachelard's theory of imagination. Journal of Personality and Social Psychology, 55(5), 836-848."
