Variable,DictionaryID,DimensionID,Type,LanguageCode,DictionaryHumanName,DimensionHumanName,DictionaryCitation
c17.31,17,31,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/CHANGE,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.32,17,32,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/COGNITION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.33,17,33,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/COMMUNICATION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.34,17,34,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/COMPETITION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.35,17,35,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/CONSUMPTION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.36,17,36,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/CONTACT,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.37,17,37,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/CREATION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.38,17,38,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/EMOTION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.39,17,39,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/MOTION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.40,17,40,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/PERCEPTION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.41,17,41,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/POSSESSION,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.42,17,42,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/SOCIAL,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.43,17,43,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/STATIVE,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
c17.44,17,44,WORDCOUNT,eng,WordNet 3.1 Lexical Categories,VERB/WEATHER,"George A. Miller (1995). 'WordNet: A Lexical Database for English'. Communications of the ACM Vol. 38, No. 11: 39-41."
