20170417121500-0	20170417121500	2	BBC Monitoring	Afghan Channel One /BBC Monitoring/(c) BBC	KILL#95##5#Nangarhar;1283;MILITARY
20170417121500-14	20170417121500	1	dailymail.co.uk	http://www.dailymail.co.uk/wires/pa/article-4418180/Simon-Mignolet-targets-Liverpool-West-Brom-win.html							roberto firmino;matt phillips;simon mignolet;jurgen klopp	Roberto Firmino;c12.12:9
20170417121500-15	20170417121500	1	dnaindia.com	http://www.dnaindia.com/world/report-christian-man-tortured-in-pak-for-befriending-muslim-woman-2405251			TAX_RELIGION;TAX_RELIGION_CHRISTIAN;TAX_ETHNICITY;TAX_ETHNICITY_CHRISTIAN;TAX_FNCACT;TAX_FNCACT_MAN;ARMEDCONFLICT;HUMAN_RIGHTS_ABUSES;HUMAN_RIGHTS_ABUSES_TORTURED;TORTURE;WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS;WB_2203_HUMAN_RIGHTS;WB_2512_TORTURE;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;TAX_RELIGION_MUSLIM;TAX_ETHNICITY_MUSLIM;TAX_FNCACT_WOMAN;WB_2931_IRON;WB_507_ENERGY_AND_EXTRACTIVES;WB_895_MINING_SYSTEMS;WB_1699_METAL_ORE_MINING;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;SECURITY_SERVICES;TAX_FNCACT_POLICE;CRISISLEX_C07_SAFETY;SOC_POINTSOFINTEREST;SOC_POINTSOFINTEREST_POLICE_STATION;TAX_FNCACT_FATHER;KIDNAP;SOC_POINTSOFINTEREST_HEADQUARTERS;GENERAL_HEALTH;MEDICAL;SOC_POINTSOFINTEREST_HOSPITAL;CRISISLEX_C03_WELLBEING_HEALTH;TAX_DISEASE;TAX_DISEASE_WOUNDS;ARREST;TAX_FNCACT_VICTIM;	SOC_POINTSOFINTEREST_POLICE_STATION;362;GENERAL_HEALTH
20170417121500-16	20170417121500	1	asiaone.com	http://forums.asiaone.com/showthread.php?s=b2449517386b12285cabcbc59e47f9e0&p=1968243			TAX_FNCACT;TAX_FNCACT_STALKERS;BULLYING;TAX_FNCACT_INSTIGATORS;EPU_CATS_REGULATION;WB_678_DIGITAL_GOVERNMENT;WB_670_ICT_SECURITY;WB_680_PERSONAL_DATA_PROTECTION;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;CRISISLEX_CRISISLEXREC;	EPU_CATS_REGULATION;9.52380952380952
20170417121500-17	20170417121500	1	mtstandard.com	http://mtstandard.com/news/world/everyone-should-be-angry-about-state-of-gender/html_6b0dda42-a2a6-58e1-8bb1-7085def6bf1d.html			WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;WB_1462_WATER_SANITATION_AND_HYGIENE;WB_635_PUBLIC_HEALTH;WB_621_HEALTH_NUTRITION_AND_POPULATION;DISCRIMINATION;DISCRIMINATION_RACE;DISCRIMINATION_RACE_RACISM;UNGP_FREEDOM_FROM_DISCRIMINATION;	WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION;c12.1:13
20170417121500-18	20170417121500	1	koreabizwire.com	http://koreabizwire.com/bird-flu-pandemic-hasnt-changed-atrocious-conditions-at-poultry-farms/80831			GENERAL_HEALTH;MEDICAL;TAX_DISEASE;TAX_DISEASE_FLU;TAX_DISEASE_BIRD_FLU;HEALTH_PANDEMIC;WB_635_PUBLIC_HEALTH;WB_2165_HEALTH_EMERGENCIES;WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE;WB_621_HEALTH_NUTRITION_AND_POPULATION;WB_2167_PANDEMICS;UNGP_HEALTHCARE;WB_2179_AGRIBUSINESS;WB_3005_FACTORY_FARM;WB_435_AGRICULTURE_AND_FOOD_SECURITY;TAX_DISEASE_INFLUENZA;WB_1421_INFLUENZA;WB_1406_DISEASES;WB_1415_COMMUNICABLE_DISEASE;TAX_WORLDMAMMALS;TAX_WORLDMAMMALS_HUMANS;GENERAL_GOVERNMENT;EPU_POLICY;EPU_POLICY_GOVERNMENT;AGRICULTURE;TAX_FNCACT;TAX_FNCACT_FARMERS;TAX_DISEASE_AVIAN_INFLUENZA;UNGP_FORESTS_RIVERS_OCEANS;LEGISLATION;MANMADE_DISASTER_IMPLIED;BAN;TAX_ETHNICITY;TAX_ETHNICITY_KOREAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_KOREAN;BORDER;TAX_FNCACT_REPRESENTATIVE;	GENERAL_GOVERNMENT;380;WB_635_PUBLIC_HEALTH
20170417121500-19	20170417121500	1	tucson.com	http://tucson.com/news/world/vietnam-villagers-hold-dozens-of-policemen-in-land-dispute/article_fbd6bb38-8905-5ca2-a14c-8a038c155541.html	PROTEST#30#La Viet Dung said#4#Hanoi;Ha N?i
20170417121500-20	20170417121500	1	bernama.com	http://www.bernama.com/bernama/v8/bu/newsbusiness.php?id=1348411			WB_698_TRADE;	WB_698_TRADE;c12.1:7
20170417121500-21	20170417121500	1	pennlive.com	http://www.pennlive.com/daily-buzz/2017/04/hero_in_injured_in_dui_tragedy.html	KILL#6##3#Fountain Hill;Pennsylvania
20170417121500-22	20170417121500	1	dailydot.com	https://www.dailydot.com/layer8/trump-privacy-shield-us-eu/			GENERAL_GOVERNMENT;TAX_FNCACT;TAX_FNCACT_EXECUTIVE;TAX_ETHNICITY;TAX_ETHNICITY_EUROPEANS;TAX_FNCACT_AUTHORITIES;CRISISLEX_CRISISLEXREC;EPU_POLICY;EPU_POLICY_AUTHORITIES;LEGISLATION;EPU_POLICY_LAW;TAX_ETHNICITY_GERMAN;TAX_WORLDLANGUAGES;TAX_WORLDLANGUAGES_GERMAN;CRISISLEX_C04_LOGISTICS_TRANSPORT;TRIAL;SURVEILLANCE;NEGOTIATIONS;WB_696_PUBLIC_SECTOR_MANAGEMENT;WB_840_JUSTICE;WB_2473_DIPLOMACY_AND_NEGOTIATIONS;WB_939_NEGOTIATION;WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT;WB_936_ALTERNATIVE_DISPUTE_RESOLUTION;WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE;WB_843_DISPUTE_RESOLUTION;WB_2471_PEACEKEEPING;TAX_FNCACT_DIRECTOR;TAX_FNCACT_EXECUTIVE_DIRECTOR;TAX_DISEASE;TAX_DISEASE_BLINDNESS;EPU_CATS_MIGRATION_FEAR_FEAR;CRISISLEX_C07_SAFETY;WB_2490_NATIONAL_PROTECTION_AND_SECURITY;EPU_CATS_NATIONAL_SECURITY;TAX_FNCACT_CITIZENS;TAX_FNCACT_SPOKESPERSON;TAX_FNCACT_COMMISSIONER;TAX_FNCACT_SECRETARY;EPU_ECONOMY_HISTORIC;APPOINTMENT;TAX_FNCACT_ASSISTANT;EPU_ECONOMY;WB_471_ECONOMIC_GROWTH;UNGP_FORESTS_RIVERS_OCEANS;CRISISLEX_T11_UPDATESSYMPATHY;WB_678_DIGITAL_GOVERNMENT;WB_694_BROADCAST_AND_MEDIA;WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES;	TAX_FNCACT_EXECUTIVE_DIRECTOR;2595;TAX_FNCACT_SPOKESPERSON
20170417121500-23	20170417121500	1	dailyprogress.com	http://www.dailyprogress.com/body-of-man-who-disappeared-after-celtics-game-found-dead/article_9595d2ff-612b-5b30-b0e5-835e4f75d71d.html					3#Charles River;Massachusetts
