GKGRECORDID,V2.1DATE,V2SOURCECOLLECTIONIDENTIFIER,V2SOURCECOMMONNAME,V2DOCUMENTIDENTIFIER,V1COUNTS,CountType,Count,ObjectType,V2.1COUNTS,V1THEMES,V2ENHANCEDTHEMES,V1LOCATIONS,LocationType,Location FullName,LocationCountryCode,V2ENHANCEDLOCATIONS,V1PERSONS,V2ENHANCEDPERSONS,V1ORGANIZATIONS,V2ENHANCEDORGANIZATIONS,V1.5TONE,V2.1ENHANCEDDATES,Day,Month,Year,V2GCAM,V2.1SHARINGIMAGE,V2.1RELATEDIMAGES,V2.1SOCIALIMAGEEMBEDS,V2.1SOCIALVIDEOEMBEDS,V2.1QUOTATIONS,QuoteLength,QuoteVerb,Quote,V2.1ALLNAMES,V2.1AMOUNTS,Amount,Object,V2.1TRANSLATIONINFO,SourceLanguageCode,TranslationEngine,V2EXTRASXML,Authors,Title,BookTitle,Date,Journal
,,,,,,,,,,Bullying,,,,,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,Avestan,,,,,,,
,,,,,,,,,,Ceasefire,,,,,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,Awadhi,,,,,,,
,,,,,,,,,,Charasmatic Leadership,,,,,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,Arawakan languages,,,,,,,
,,,,,,,,,,Checkpoint,,,,,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,Aymara,,,,,,,
,,,,,,,,,,Claim Credit,,,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,Uto-Aztecan languages,,,,,,,
,,,,,,,,,,Closure,,,,,Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijani,,,,,,,
,,,,,,,,,,Confiscation,,,,,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,Banda languages,,,,,,,
,,,,,,,,,,Constitutional,,,,,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,Bamileke languages,,,,,,,
,,,,,,,,,,Corruption,,,,,Chad,,,,,,,,,,,,,,,,,,,,,,,,,Bashkir,,,,,,,
,,,,,,,,,,Crime Cartels,,,,,Chile,,,,,,,,,,,,,,,,,,,,,,,,,Baluchi,,,,,,,
,,,,,,,,,,Crime Common Robbery,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,Bambara,,,,,,,
,,,,,,,,,,Crime Illegal Drugs,,,,,Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,Balinese,,,,,,,
,,,,,,,,,,Curfew,,,,,Clipperton Island,,,,,,,,,,,,,,,,,,,,,,,,,Basque,,,,,,,
,,,,,,,,,,Cyber Attack,,,,,Cocos Keeling Islands,,,,,,,,,,,,,,,,,,,,,,,,,Basa (Cameroon),,,,,,,
,,,,,,,,,,Death Penalty,,,,,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,Baltic languages,,,,,,,
,,,,,,,,,,Defection,,,,,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,Beja,,,,,,,
,,,,,,,,,,Delay,,,,,Congo,,,,,,,,,,,,,,,,,,,,,,,,,Belarusian,,,,,,,
,,,,,,,,,,Democracy,,,,,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,Bemba (Zambia),,,,,,,
,,,,,,,,,,Disability,,,,,Coral Sea Islands,,,,,,,,,,,,,,,,,,,,,,,,,Bengali,,,,,,,
,,,,,,,,,,Discrimination,,,,,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,Berber languages,,,,,,,
,,,,,,,,,,Drone,,,,,Cote dIvoire,,,,,,,,,,,,,,,,,,,,,,,,,Bhojpuri,,,,,,,
,,,,,,,,,,Drug Trade,,,,,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,Bihari languages,,,,,,,
,,,,,,,,,,Economic Bankruptcy,,,,,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,Bikol,,,,,,,
,,,,,,,,,,Economic Boycott,,,,,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,Bini,,,,,,,
,,,,,,,,,,Economic Cost Of Living,,,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,Bislama,,,,,,,
,,,,,,,,,,Economic Currency Exchange Rate,,,,,Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,Siksika,,,,,,,
,,,,,,,,,,Economic Currency Reserves,,,,,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,Bantu languages,,,,,,,
,,,,,,,,,,Economic Cutoutlook,,,,,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,Tibetan,,,,,,,
,,,,,,,,,,Economic Debt,,,,,Dhekelia Sovereign Base Area,,,,,,,,,,,,,,,,,,,,,,,,,Bosnian,,,,,,,
,,,,,,,,,,Economic Deregulation,,,,,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,Braj,,,,,,,
,,,,,,,,,,Economic Earningsreport,,,,,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,Breton,,,,,,,
,,,,,,,,,,Economic Entrepreneurship,,,,,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,Batak languages,,,,,,,
,,,,,,,,,,Economic Foreigninvest,,,,,East Timor,,,,,,,,,,,,,,,,,,,,,,,,,Buriat,,,,,,,
,,,,,,,,,,Economic Freetrade,,,,,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,Buginese,,,,,,,
,,,,,,,,,,Economic Housing Prices,,,,,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,Bulgarian,,,,,,,
